EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,17-JUN-87,AD_PRES,24000,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-SEP-89,AD_VP,17000,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,13-JAN-93,AD_VP,17000,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-JAN-90,IT_PROG,9000,102,60
104,Bruce,Ernst,BERNST,590.423.4568,21-MAY-91,IT_PROG,6000,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-JUN-97,IT_PROG,4800,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,05-FEB-98,IT_PROG,4800,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-FEB-99,IT_PROG,4200,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-AUG-94,FI_MGR,12000,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,16-AUG-94,FI_ACCOUNT,9000,108,100
110,John,Chen,JCHEN,515.124.4269,28-SEP-97,FI_ACCOUNT,8200,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-SEP-97,FI_ACCOUNT,7700,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-MAR-98,FI_ACCOUNT,7800,108,100
113,Luis,Popp,LPOPP,515.124.4567,07-DEC-99,FI_ACCOUNT,6900,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-DEC-94,PU_MAN,11000,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,18-MAY-95,PU_CLERK,3100,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,24-DEC-97,PU_CLERK,2900,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,24-JUL-97,PU_CLERK,2800,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-98,PU_CLERK,2600,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-99,PU_CLERK,2500,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-96,ST_MAN,8000,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,10-APR-97,ST_MAN,8200,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-95,ST_MAN,7900,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-97,ST_MAN,6500,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-99,ST_MAN,5800,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-JUL-97,ST_CLERK,3200,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-98,ST_CLERK,2700,120,50
127,James,Landry,JLANDRY,650.124.1334,14-JAN-99,ST_CLERK,2400,120,50
128,Steven,Markle,SMARKLE,650.124.1434,08-MAR-00,ST_CLERK,2200,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-97,ST_CLERK,3300,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-97,ST_CLERK,2800,121,50
131,James,Marlow,JAMRLOW,650.124.7234,16-FEB-97,ST_CLERK,2500,121,50
132,TJ,Olson,TJOLSON,650.124.8234,10-APR-99,ST_CLERK,2100,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,14-JUN-96,ST_CLERK,3300,122,50
